Anho;Mes;Variación IPC
2010;Enero;0,52
2010;Febrero;0,28
2010;Marzo;0,08
2010;Abril;0,46
2010;Mayo;0,36
2010;Junio;0,00
2010;Julio;0,64
2010;Agosto;-0,10
2010;Septiembre;0,40
2010;Octubre;0,10
2010;Noviembre;0,07
2010;Diciembre;0,12
2011;Enero;0,27
2011;Febrero;0,23
2011;Marzo;0,76
2011;Abril;0,32
2011;Mayo;0,40
2011;Junio;0,17
2011;Julio;0,13
2011;Agosto;0,16
2011;Septiembre;0,50
2011;Octubre;0,49
2011;Noviembre;0,32
2011;Diciembre;0,61
2012;Enero;0,09
2012;Febrero;0,39
2012;Marzo;0,16
2012;Abril;0,05
2012;Mayo;0,03
2012;Junio;-0,30
2012;Julio;-0,01
2012;Agosto;0,22
2012;Septiembre;0,77
2012;Octubre;0,56
2012;Noviembre;-0,45
2012;Diciembre;-0,03
2013;Enero;0,18
2013;Febrero;0,12
2013;Marzo;0,56
2013;Abril;-0,18
2013;Mayo;-0,05
2013;Junio;0,46
2013;Julio;0,05
2013;Agosto;0,28
2013;Septiembre;0,49
2013;Octubre;0,30
2013;Noviembre;0,24
2013;Diciembre;0,35
2014;Enero;0,18
2014;Febrero;0,49
2014;Marzo;0,84
2014;Abril;0,62
2014;Mayo;0,34
2014;Junio;0,05
2014;Julio;0,23
2014;Agosto;0,32
2014;Septiembre;0,84
2014;Octubre;1,04
2014;Noviembre;0,02
2014;Diciembre;-0,41
2015;Enero;0,08
2015;Febrero;0,35
2015;Marzo;0,63
2015;Abril;0,57
2015;Mayo;0,18
2015;Junio;0,48
2015;Julio;0,42
2015;Agosto;0,68
2015;Septiembre;0,51
2015;Octubre;0,41
2015;Noviembre;-0,03
2015;Diciembre;0,01
2016;Enero;0,47
2016;Febrero;0,28
2016;Marzo;0,38
2016;Abril;0,33
2016;Mayo;0,22
2016;Junio;0,45
2016;Julio;0,24
2016;Agosto;0,05
2016;Septiembre;0,24
2016;Octubre;0,17
2016;Noviembre;0,05
2016;Diciembre;-0,20
2017;Enero;0,54
2017;Febrero;0,24
2017;Marzo;0,38
2017;Abril;0,24
2017;mayo;0,13
2017;Junio;-0,39
2017;Julio;0,24
2017;Agosto;0,20
2017;Septiembre;-0,15
2017;Octubre;0,59
2017;Noviembre;0,09
2017;Diciembre;0,15
2018;Enero;0,46
2018;Febrero;0,10
2018;Marzo;0,20
2018;Abril;0,27
2018;Mayo;0,26
2018;Junio;0,09
2018;Julio;0,33
2018;Agosto;0,08
2018;Septiembre;0,20
2018;Octubre;0,40
2018;Noviembre;-0,08
2018;Diciembre;-0,19
2019;Enero;0,11
2019;Febrero;0,05
2019;Marzo;0,47
2019;Abril;0,26
2019;Mayo;0,60
2019;Junio;0,05
2019;Julio;0,22
2019;Agosto;0,19
2019;Septiembre;0,01
2019;Octubre;0,81
2019;Noviembre;0,08
2019;Diciembre;0,10
2020;Enero;0,57
2020;Febrero;0,45
2020;Marzo;0,33
2020;Abril;-0,04
2020;Mayo;-0,05
2020;Junio;-0,07
2020;Julio;0,10
2020;Agosto;0,13
2020;Septiembre;0,64
2020;Octubre;0,69
2020;Noviembre;-0,14
2020;Diciembre;0,34
2021;Enero;0,70
2021;Febrero;0,19
2021;Marzo;0,38
2021;Abril;0,38
2021;Mayo;0,27
2021;Junio;0,08
2021;Julio;0,81
2021;Agosto;0,36
2021;Septiembre;1,18
2021;Octubre;1,34
2021;Noviembre;0,50
2021;Diciembre;0,78
2022;Enero;1,20
2022;Febrero;0,29
2022;Marzo;1,85
2022;Abril;1,40
2022;Mayo;1,20
2022;Junio;0,93
2022;Julio;1,37
2022;Agosto;1,21
2022;Septiembre;0,86
2022;Octubre;0,52
2022;Noviembre;0,98
2022;Diciembre;0,28
2023;Enero;0,81
2023;Febrero;0,27
2023;Marzo;0,73
2023;Abril;0,26
2023;Mayo;0,32
2023;Junio;-0,43
2023;Julio;0,12
2023;Agosto;0,12
2023;Septiembre;0,64
2023;Octubre;0,29
2023;Noviembre;0,75
2023;Diciembre ;-0,53
2024;Enero;0,67
2024;Febrero ;0,59
2024;Marzo ;0,38
2024;Abril ;0,53
2024;Mayo ;0,26
2024;Junio;-0,09
2024;Julio;0,74
2024;Agosto;0,26
2024;Septiembre;0,09
2024;Octubre;0,97
2024;Noviembre;0,25
2024;Diciembre;-0,20
